"","channel","register_num","appliciant_num","appliciant_rate","predicted_appliciant_rate"
"1","jobshil_media",8,1,0.125,0.162286567113321
"2","jobtalk_organic",56,52,0.928571428571429,0.9108095446805
"3","jobtalk_paid",298,2,0.00671140939597315,0.00875046043067316
"4","jstaff_ios",328,94,0.286585365853659,0.287383917677589
"5","jstaff_hellowork",228,4,0.0175438596491228,0.0202064768502067
"6","google_cpc",964,183,0.189834024896266,0.190426792088317
"7","accesstrade_affiliate",75,4,0.0533333333333333,0.0605078866872917
"8","google_android",518,82,0.158301158301158,0.15906879905356
"9","indivision",8253,311,0.0376832666909003,0.0377030929652915
"10","yahoo_cpc",30,9,0.3,0.30047880683212
"11","jstaff",465,199,0.427956989247312,0.428120880571268
"12","stanby_organic",131,85,0.648854961832061,0.643791831602943
"13","careerjet_cpc",71,48,0.676056338028169,0.669166743325929
"14","apple_ios",20,1,0.05,0.0723775137086788
"15","jstaff_android",72,20,0.277777777777778,0.278831753046101
"16","google_ios",5,0,0,0.0871996543936785
"17","indeed_organic",738,681,0.922764227642276,0.92149747868618
"18","indeed_cpc",650,521,0.801538461538462,0.80001201182166
"19","stanby_cpc",677,392,0.579025110782866,0.578249537156522
"20","autoline_cpc",22,1,0.0454545454545454,0.0677036326648233
