"channel","pre_hire_confirm_sale"
"kbox_cpc",200000
"indeed_organic",298000
"jstaff_ios",180000
"indeed_organic",500000
"jstaff_ios",616000
"kbox_cpc",750000
"stanby_cpc",300000
"indeed_cpc",390000
"indivision",700000
"indivision",180000
"indeed_cpc",390000
"jobtalk_organic",500000
"jstaff_ios",250000
"indivision",500000
"indeed_cpc",200000
"indeed_organic",200000
"indivision",300000
"indivision",300000
"indeed_organic",300000
"indeed_organic",150000
"jstaff_ios",560000
"google_cpc",300000
"stanby_cpc",400000
"autoline_cpc",350000
"kbox_cpc",480000
"indeed_cpc",450000
"jstaff_hellowork",469000
"kbox_cpc",448000
"indeed_organic",381000
"jstaff",500000
"jstaff",436800
"indeed_cpc",240814
"indeed_cpc",468160
"stanby_cpc",200000
"indivision",450000
"indeed_organic",400000
"indeed_organic",300000
"jstaff",400000
"stanby_cpc",300000
"google_cpc",300000
"indeed_cpc",400000
"indeed_cpc",450000
"jstaff_ios",270000
"autoline_cpc",390000
"jstaff",749000
"indeed_organic",200000
"indeed_organic",300000
"kbox_cpc",500000
"jstaff",300000
"indeed_cpc",200000
"google_android",504000
"indivision",200000
"jmty_cpc",300000
"indeed_organic",415142
"indeed_organic",300000
"jstaff",686000
"indivision",390000
"indeed_cpc",400000
"kbox_cpc",340000
"indeed_cpc",390000
"indivision",468160
"indeed_organic",568400
"jstaff",504000
"jstaff_ios",500000
"google_cpc",330000
"google_cpc",750000
"jstaff_ios",350000
"jstaff",500000
"stanby_cpc",400000
"indeed_organic",200000
"stanby_cpc",200000
"stanby_cpc",200000
"jstaff",400000
"indeed_organic",344249
"jstaff",532000
"indeed_organic",693336
"google_cpc",390000
"indeed_organic",180000
"indeed_organic",381000
"jobtalk_organic",616000
"indeed_cpc",230000
"stanby_organic",504000
"jobtalk_organic",300000
"google_android",300000
"jstaff",351000
"indeed_cpc",200000
"stanby_cpc",350000
"indeed_cpc",150000
"jobtalk_paid",350000
"indeed_organic",500000
"indivision",300000
"indeed_organic",644000
"google_android",340000
"indivision",300000
"indeed_organic",200000
"indivision",390000
"indeed_organic",648000
"stanby_cpc",679000
"google_ios",300000
"indeed_organic",200000
"stanby_cpc",630000
"jstaff_android",200000
"google_cpc",300000
"indeed_cpc",390000
"google_cpc",180000
"stanby_cpc",200000
"jstaff",390000
"kbox_cpc",500000
"google_cpc",200000
"indivision",270000
"google_android",180000
"indeed_cpc",300000
"kbox_cpc",300000
"indeed_organic",300000
"jstaff",390000
"indivision",390000
"google_cpc",200000
"google_android",200000
"google_cpc",350000
"indeed_organic",630000
"indeed_cpc",390000
"stanby_cpc",180000
"jstaff_ios",517160
"stanby_cpc",300000
"indeed_organic",390000
"indeed_organic",504000
"google_cpc",180000
"jstaff_ios",390000
"google_cpc",390000
"jstaff_hellowork",180000
"jstaff",180000
"jstaff",400000
"apple_ios",650000
"kbox_cpc",200000
"google_cpc",400000
"apple_ios",666400
"careerjet_cpc",500000
"google_cpc",300000
"indeed_organic",200000
"indeed_organic",840064
"google_android",500000
"google_android",742000
"stanby_cpc",400000
"stanby_cpc",800000
"stanby_cpc",300000
"indeed_cpc",300000
"indeed_cpc",400000
"jstaff_hellowork",300000
"stanby_cpc",450000
"jstaff",400000
"indeed_cpc",524188
"google_cpc",390000
"google_cpc",200000
"google_cpc",300000
"indeed_organic",350000
"google_android",350000
"indivision",408000
"indeed_organic",378000
"google_android",300000
"jstaff",800000
"google_ios",300000
"autoline_cpc",200000
"jstaff_ios",300000
"jstaff",300000
"google_cpc",180000
"jstaff_hellowork",450000
"jstaff",250000
"indeed_organic",300000
"jstaff",750000
"google_cpc",30000
"indeed_organic",679000
"google_cpc",350000
"indeed_organic",300000
"jstaff",672000
"stanby_organic",300000
"google_cpc",150000
"indeed_organic",300000
"jstaff_ios",300000
"jstaff_ios",300000
"indeed_organic",390000
"google_cpc",350000
"indeed_organic",591500
"google_ios",180000
"indeed_cpc",390000
"stanby_organic",575400
"indeed_cpc",300000
"google_cpc",450000
"indeed_organic",200000
"indeed_organic",691600
"indivision",200000
"indeed_cpc",390000
"stanby_cpc",300000
"jstaff_hellowork",180000
"stanby_cpc",390000
"indivision",480000
"google_android",300000
"jstaff_ios",300000
"indivision",180000
"indeed_organic",300000
"stanby_cpc",390000
"indivision",300000
"google_cpc",300000
"twitter_ios",896117
"stanby_cpc",924000
"indeed_organic",408000
"jstaff_hellowork",200000
"google_cpc",500000
"indivision",200000
"jstaff",390000
"google_android",400000
"jstaff",180000
"kbox_cpc",298200
"jstaff_hellowork",470400
"google_android",476000
"indeed_organic",400000
"indeed_organic",200000
"indeed_organic",672000
"indivision",400000
"stanby_cpc",456000
"indeed_cpc",300000
"jstaff",300000
"google_cpc",180000
"indeed_organic",800000
"indivision",30000
"indivision",409500
"google_cpc",30000
"indeed_organic",436800
"jstaff",390000
"google_android",800000
"google_cpc",300000
"jstaff",493920
"kbox_cpc",250000
"jstaff",618800
"indeed_organic",300000
"google_cpc",390000
"imple_cpc",180000
"indeed_cpc",300000
"jstaff",390000
"jstaff",300000
"indeed_cpc",300000
"stanby_cpc",390000
"indeed_organic",660076
"jstaff_hellowork",540400
"indivision",400000
"google_cpc",390000
"jstaff_ios",185000
"indeed_organic",200000
"jstaff",350000
"jstaff",543200
"google_ios",400000
"indeed_cpc",180000
"indeed_cpc",300000
"kbox_cpc",300000
"stanby_cpc",742000
"indeed_organic",423690
"google_cpc",180000
"jstaff_android",300000
"kbox_cpc",900000
"indivision",423690
"indeed_organic",390000
"indivision",800000
"stanby_cpc",350000
"indeed_organic",300000
"google_cpc",400000
"indeed_organic",598920
"indeed_organic",300000
"google_cpc",610764
"jstaff_ios",400000
"stanby_cpc",390000
"google_ios",350000
"jstaff",200000
"jstaff",624400
"indivision",200000
"indeed_cpc",599071
"google_cpc",200000
"indeed_organic",700000
"stanby_organic",300000
"stanby_organic",658000
"indeed_organic",300000
"indeed_organic",200000
"indeed_cpc",400000
"indeed_organic",568400
"indeed_organic",250000
"stanby_organic",400000
"google_cpc",504000
"indeed_cpc",400000
"google_cpc",200000
"jstaff",400000
"indeed_organic",483000
"google_cpc",500000
"careerjet_cpc",644000
"indeed_organic",548800
"stanby_organic",630000
"google_cpc",456400
"stanby_cpc",415142
"stanby_cpc",350000
"indeed_cpc",423690
"indeed_organic",375952
"yahoo_cpc",448000
"stanby_cpc",390000
"jstaff",100000
"indeed_cpc",530000
"indivision",400000
"jstaff",300000
"jstaff",30000
"autoline_cpc",392000
"jstaff",300000
"jstaff",478240
"indeed_cpc",284200
"indeed_organic",300000
"indeed_organic",506000
"indeed_cpc",530000
"google_cpc",300000
"google_android",450000
"jstaff_hellowork",180000
"indeed_cpc",400000
"indeed_organic",250000
"kbox_cpc",420000
"google_cpc",300000
"stanby_cpc",300000
"google_cpc",180000
"google_cpc",200000
"jstaff",756000
"indeed_organic",504000
"apple_ios",300000
"jstaff_ios",300000
"stanby_cpc",876400
"google_android",390000
"indeed_organic",607600
"indeed_organic",200000
"stanby_organic",300000
"indivision",500000
"indeed_organic",658000
"jobtalk_organic",300000
"google_cpc",300000
"indivision",936600
"google_android",390000
"indeed_cpc",500000
"indeed_cpc",470000
"indivision",400000
"indeed_organic",515000
"indivision",300000
"google_cpc",200000
"stanby_cpc",390000
"indivision",390000
"indeed_organic",644000
"google_android",500000
"jstaff_ios",500000
"jstaff_ios",487200
"apple_ios",180000
"indeed_organic",616000
"indivision",180000
"google_cpc",300000
"indeed_organic",200000
"indeed_organic",574000
"stanby_cpc",609000
"jstaff",651000
"indeed_organic",812000
"kbox_cpc",390000
"stanby_cpc",350000
"indeed_organic",551096
"stanby_cpc",300000
"indeed_organic",381000
"jstaff_ios",495420
"indeed_cpc",900000
"google_android",340000
"indeed_organic",330000
"kbox_cpc",300000
"indivision",350000
"google_ios",180000
"indivision",400000
"jstaff",483000
"jstaff_hellowork",616560
"indivision",300000
"google_cpc",350000
"yahoo_cpc",442400
"jstaff_ios",300000
"jstaff",900000
"google_cpc",250000
"kbox_cpc",542500
"stanby_cpc",272629
"google_cpc",180000
"indeed_organic",300000
"google_cpc",180000
"google_cpc",180000
"indeed_organic",636000
"google_cpc",510440
"kbox_cpc",450000
"indeed_organic",691600
"google_android",400000
"indeed_organic",868000
"google_cpc",180000
"google_cpc",390000
"jstaff",700000
"jstaff_ios",300000
"google_cpc",300000
"google_android",400000
"jstaff_hellowork",530000
"stanby_cpc",500000
"google_cpc",200000
"indivision",644000
"indeed_organic",770000
"kbox_cpc",390000
"jobtalk_paid",308000
"indivision",530000
"google_cpc",300000
"google_cpc",900000
"stanby_cpc",362424
"stanby_cpc",400000
"google_android",250000
"indeed_organic",150000
"indeed_organic",357000
"kbox_cpc",250000
"jstaff",518000
"jobtalk_paid",300000
"jstaff_ios",300000
"google_cpc",180000
"indivision",381000
"indivision",300000
"stanby_cpc",620200
"google_cpc",390000
"jstaff_hellowork",350000
"indeed_cpc",390000
"stanby_cpc",336000
"indeed_organic",250000
"indeed_organic",400000
"google_ios",300000
"stanby_cpc",400000
"indeed_cpc",390000
"indivision",200000
"google_android",300000
"stanby_cpc",476000
"google_android",569800
"indeed_organic",400000
"jstaff_hellowork",756000
"indeed_organic",717500
"indivision",300000
"indeed_cpc",250000
"google_cpc",390000
"kbox_cpc",300000
"stanby_cpc",180000
"jstaff_ios",700000
"indeed_organic",476000
"indeed_organic",506400
"jstaff_android",180000
"kbox_cpc",400000
"indeed_cpc",542068
"yahoo_cpc",300000
"stanby_cpc",560000
"jstaff",200000
"indeed_organic",504000
"indeed_organic",400000
"indeed_cpc",300000
"jstaff_android",180000
"indeed_cpc",470000
"indeed_organic",761600
"indeed_organic",150000
"indeed_organic",485830
"jstaff",294000
"indeed_organic",742000
"google_cpc",300000
"indeed_organic",350000
"google_cpc",300000
"indeed_organic",672000
"google_ios",200000
"yahoo_cpc",528000
"stanby_cpc",200000
"jstaff",500000
"jstaff",1047200
"google_cpc",200000
"jstaff",600000
"google_cpc",250000
"stanby_organic",980000
"indeed_organic",504000
"indeed_organic",448000
"jstaff",604184
"indivision",350000
"indeed_organic",300000
"imple_cpc",300000
"indeed_organic",560000
"indeed_organic",480000
"indivision",1155000
"stanby_cpc",500000
"indivision",400000
"google_android",644000
"indeed_organic",400000
"google_android",200000
"indivision",400000
"jstaff_ios",750000
"google_ios",300000
"indivision",250000
"indeed_organic",400000
"google_cpc",800000
"jstaff",900000
"stanby_organic",1333500
"jstaff",400000
"google_cpc",400000
"google_cpc",400000
"indeed_organic",1207500
"google_cpc",400000
"indeed_organic",432000
"jstaff_hellowork",672000
"indeed_organic",300000
"stanby_cpc",400000
"indivision",480000
"jstaff",300000
"indeed_organic",350000
"indivision",450000
"google_cpc",648000
"stanby_cpc",530000
"indivision",180000
"indeed_organic",900000
"jstaff_ios",924000
"stanby_cpc",750000
"jstaff",300000
"jstaff",300000
"google_cpc",390000
"jstaff_hellowork",300000
"indeed_organic",470400
"indivision",350000
"stanby_cpc",750000
"jstaff",150000
"google_cpc",500000
"indeed_organic",644000
"indeed_organic",400000
"kbox_cpc",568400
"indeed_organic",300000
"indivision",300000
"indeed_cpc",616000
"indeed_organic",300000
"apple_ios",180000
"google_cpc",400000
"indeed_organic",300000
"jstaff_ios",400000
"indeed_organic",350000
"google_cpc",300000
"stanby_cpc",400000
"indeed_organic",609616
"kbox_cpc",400000
"kbox_cpc",400000
"stanby_cpc",300000
"imple_cpc",400000
"kbox_cpc",500000
"google_cpc",180000
"google_cpc",650000
"google_cpc",427840
"jstaff_android",350000
"indivision",500000
"jstaff",448448
"indeed_organic",750000
"google_android",200000
"kbox_cpc",200000
"google_cpc",390000
"indeed_organic",390000
"jstaff",728448
"indeed_organic",350000
"careerjet_cpc",300000
"kbox_cpc",298000
"jstaff",400000
"indeed_organic",548912
"stanby_organic",450000
"indivision",390000
"indeed_organic",710080
"google_cpc",180000
"indeed_cpc",350000
"indeed_cpc",390000
"stanby_cpc",400000
"indeed_cpc",390000
"indeed_organic",532000
"stanby_cpc",436800
"jstaff",630000
"google_cpc",400000
"indeed_organic",574806
"jstaff_ios",1050000
"jobtalk_organic",716000
"jstaff",300000
"indeed_cpc",300000
"indeed_organic",200000
"google_rax",400000
"indeed_organic",400000
"jstaff",700000
"google_android",180000
"google_cpc",644000
"indeed_organic",476000
"jstaff_ios",450000
"jstaff_ios",630000
"apple_ios",300000
"jstaff",390000
"indeed_organic",200000
"indivision",400000
"indeed_organic",489840
"stanby_organic",200000
"indivision",200000
"stanby_organic",300000
"jobtalk_organic",400000
"kbox_cpc",400000
"indeed_cpc",390000
"indeed_cpc",200000
"jstaff",250000
"indeed_organic",280000
"jstaff_android",300000
"indeed_organic",300000
"jstaff",1089198
"indeed_organic",616000
"jstaff_ios",400000
"google_cpc",390000
"indivision",200000
"indivision",390000
"jstaff_ios",300000
"jstaff",408000
"stanby_organic",270000
"google_cpc",539000
"indeed_cpc",577220
"jstaff_hellowork",450000
"indeed_cpc",854000
"jstaff_android",180000
"indivision",390000
"jobtalk_organic",436800
"google_cpc",390000
"jstaff_hellowork",390000
"jstaff",250000
"jobtalk_organic",200000
"stanby_cpc",1349600
"stanby_cpc",390000
"google_cpc",200000
"stanby_cpc",750000
"indeed_cpc",390000
"indeed_organic",400000
"indeed_organic",350000
"indeed_organic",300000
"indivision",500000
"google_android",300000
"indeed_cpc",390000
"google_cpc",300000
"jstaff_hellowork",750000
"apple_ios",574000
"careerjet_cpc",450000
"kbox_cpc",400000
"indeed_cpc",476000
"stanby_cpc",300000
"jstaff_hellowork",924000
"indeed_organic",660000
"apple_ios",539000
"kbox_cpc",180000
"indeed_organic",380248
"jstaff",200000
"kbox_cpc",576000
"indivision",300000
"stanby_organic",250000
"indeed_cpc",530983
"jstaff",300000
"indeed_organic",405000
